record_id,sewershed_id,wwtp_jurisdiction,source,county_fips,counties_served,population_served,sample_id,sample_collect_date,sample_type,sample_matrix,sample_location,flow_rate,concentration_method,pasteurized,pcr_type,extraction_method,major_lab_method,inhibition_detect,inhibition_adjust,ntc_amplify,pcr_target,pcr_gene_target_agg,pcr_target_avg_conc,pcr_target_units,lod_sewage,pcr_target_avg_conc_lin,pcr_target_flowpop_lin,pcr_target_mic_lin,hum_frac_target_mic,hum_frac_mic_conc,hum_frac_mic_unit,rec_eff_percent,rec_eff_target_name,rec_eff_spike_matrix,rec_eff_spike_conc,date_updated
1426ccce4154e62ba8b29bc57ef7a1e4,169,ca,cdc_verily,06081,San Mateo,27000,5c515a4d3aafeae556acc01af0ebc0e1,2025-09-25,24-hr flow-weighted composite,post grit removal,wwtp,1.5,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,157725,0,pepper mild mottle virus,267532545.7,copies/l wastewater,83.5,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
c70f15a96b3ae61cd5966be3888e6c5d,16,ak,cdc_verily,02110,Juneau,22000,ffa64e32af5f7dcf2eed1609d1eed812,2025-08-13,grab,raw wastewater,wwtp,3,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,387143.1818,0.00001,pepper mild mottle virus,92269146.26,copies/l wastewater,97.8,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
5c6e6007255b6247a5df26d8281cb7b5,68,ar,cdc_verily,05007,Benton,19000,189ed60654f2f9b1fb69b65be3a0606d,2025-09-18,24-hr flow-weighted composite,raw wastewater,wwtp,3.5,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,522982.8947,0,pepper mild mottle virus,203270902.2,copies/l wastewater,165,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
8514c914d510d79ca520105e9fc08755,2188,gu,cdc_verily,66010,Guam,64247,47c99c7a424f56dcad78cfc4ced78383,2025-10-22,24-hr time-weighted composite,raw wastewater,wwtp,6,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,265137.6718,0,pepper mild mottle virus,307429218,copies/l wastewater,92.6,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
510fcb3055f509f1572fe443a297506f,270,ct,cdc_verily,09001,Fairfield,45878,e81f4585e888b09b1d14e1ffdfdb53e9,2025-10-05,24-hr flow-weighted composite,raw wastewater,wwtp,9,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,556943.4151,0.00001,pepper mild mottle virus,103331636.9,copies/l wastewater,91.2,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
f2a0a2f4d757952182786fca392664db,2517,md,cdc_verily,24033,Prince Georges,55848,12b20c3ac298996e8b2edc5ccdec5656,2025-10-21,grab,raw wastewater,upstream,7,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,355847.1208,0.00001,pepper mild mottle virus,71199354.9,copies/l wastewater,62.7,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
e0ee2ef1d91649bf28c2556e78d4bb03,1987,va,cdc_verily,"51840, 51069","Frederick, Winchester City",60000,158208be4b1ae5ec6a76d017fb82b3b0,2025-09-18,24-hr time-weighted composite,post grit removal,wwtp,7.5,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,354881.25,0.00001,pepper mild mottle virus,74003633.94,copies/l wastewater,86.6,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
4aaf5bae527db3e1ffd64558a5fb15df,2139,wi,state_territory,55075,Marinette,11000,45e934705e099689b30410cd00cf21b1,2025-06-15,24-hr flow-weighted composite,raw wastewater,wwtp,1.54,ceres nanotrap,no,qiagen dpcr,promega automated tna kit,2,not tested,,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,53280,26640,14118027.84,0.00025,pepper mild mottle virus,105600000,copies/l wastewater,-1,bcov vaccine,raw sample,-1,12/01/2025 10:30:00 AM
bec4c433a5bce02909fdf9cf04faac1e,1490,nc,cdc_verily,37159,Rowan,32000,5080ed0a60100b040f09ea5d1410e0eb,2025-11-20,24-hr flow-weighted composite,post grit removal,wwtp,3.381,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,336996.8067,0.00002,pepper mild mottle virus,37788610.72,copies/l wastewater,43.35,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
a69a2f6ae11d12b515e1b05d81f91603,162,ca,cdc_verily,06079,San Luis Obispo,14465,6be66e4f625489aff8a13bcf82bb1e70,2025-10-16,24-hr time-weighted composite,post grit removal,wwtp,0.45,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2,no,no,no,mev_wt,mev_n_gene_wt (wwscan),0,copies/l wastewater,1500,750,88321.63844,0.00001,pepper mild mottle virus,117485201.3,copies/l wastewater,64.8,bcov vaccine,clarified sample,5,12/01/2025 10:30:00 AM
